Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
30% Fair value decrease contingent encumbrance accounting consolidation level,E47E71CC-C065-EBDB-DA1E-E7E3AF64FCC0,1303,,9A2BD7F7-6D4A-3F63-D1DE-ABAA2CCB0F7E,566,Y,Domain,,,,,4CBDE993-B269-D10F-4FD3-13040004B341,8,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,Accounting consolidation level,String,,,,,FR_VL_DCRS_CNTNGNT_ENCMBRNC_ACCNTNG_CNSLDTN_LVL,08EFEB1B-6C32-949D-7E3A-7907E9EFE1F9,5043,30% Fair value decrease contingent encumbrance,P,F,Model Context specifies 30% Fair value decrease contingent encumbrance,3,1,,,
30% Fair value decrease contingent encumbrance accounting standard,8807F6F3-DA83-BC60-390C-14B49788D361,1304,,9A2BD7F7-6D4A-3F63-D1DE-ABAA2CCB0F7E,566,Y,Domain,,,,,E121E041-B09C-AB9A-70C9-78308EDD10E8,10,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,Accounting framework,String,,,,,FR_VL_DCRS_CNTNGNT_ENCMBRNC_ACCNTNG_STNDRD,08EFEB1B-6C32-949D-7E3A-7907E9EFE1F9,5043,30% Fair value decrease contingent encumbrance,P,F,Model Context specifies 30% Fair value decrease contingent encumbrance,4,1,,,
30% Fair value decrease contingent encumbrance reference date,617A964B-B16A-1DA6-0796-6F1702E611C0,1305,,9A2BD7F7-6D4A-3F63-D1DE-ABAA2CCB0F7E,566,Y,Domain,,,,,2BB0BC4F-2625-4B6E-BFB9-85C466713314,18,LOGDT007,510,,,,,,,,,Y,All possible dates,Date,,,,,FR_VL_DCRS_CNTNGNT_ENCMBRNC_RFRNC_DT,08EFEB1B-6C32-949D-7E3A-7907E9EFE1F9,5043,30% Fair value decrease contingent encumbrance,P,F,Model Context specifies 30% Fair value decrease contingent encumbrance,1,,,,
30% Fair value decrease contingent encumbrance reporting agent identifier,45239B99-94C2-1F3B-AD43-72AC8D63FF6D,1306,,9A2BD7F7-6D4A-3F63-D1DE-ABAA2CCB0F7E,566,Y,Domain,,,,,12DFCE00-085A-4E8C-BE55-52350D849DA7,435,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore",String,,,,,FR_VL_DCRS_CNTNGNT_ENCMBRNC_RPRTNG_AGNT_ID,08EFEB1B-6C32-949D-7E3A-7907E9EFE1F9,5043,30% Fair value decrease contingent encumbrance,P,F,Model Context specifies 30% Fair value decrease contingent encumbrance,2,60,,,
Accounting classification,3734CE74-2D6C-7ABA-B3E6-8D41C289FAFE,1307,,2F2741D3-5A9B-84B6-79A0-B1F2C0C6DB6E,608,Y,Domain,,,,,A553F1FA-51FD-48C2-A80A-426CA94AD34E,5,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,Accounting classification for liabilities,String,,,,,ACCNTNG_CLSSFCTN,CC779237-1E1A-7E4C-3981-24D3D48EC0B2,4692,Balance sheet recognised exchange tradable derivative liability position,,F,Accounting classification for financial liabilities specifies Balance sheet recognised exchange tradable derivative liability position,3,2,,,
Accounting classification,F799EB9C-9D18-4E62-B632-8C186CFBF0A8,1308,,FB69AB11-CA2F-CB73-8B7F-7D06ABB9DDE3,660,Y,Domain,,,,,B55403CF-E495-4846-B034-10BB6A3F7AE2,2,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,Accounting classification applicable to off-balance sheet items,String,,,,,ACCNTNG_CLSSFCTN,,,Credit facility,,,,27,3,,,
Accounting classification,4F16D2F2-6CD4-3D16-0AB5-F958059F75B8,1309,,02BFA482-6B90-AEDD-2AF3-894CCAC2D420,568,Y,Domain,,,,,7631EDCB-3034-4948-BBCA-3908FF5794F5,3,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,Accounting classification for assets,String,,,,,ACCNTNG_CLSSFCTN,,,Accounting classification for financial assets,P,,,1,3,,,
Accounting classification,211FCE7D-5938-EEA0-3326-CDD40E838077,1310,,6EC9BBB2-EB91-A986-6E0C-0C7B64929A33,569,Y,Domain,,,,,A553F1FA-51FD-48C2-A80A-426CA94AD34E,5,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,Accounting classification for liabilities,String,,,,,ACCNTNG_CLSSFCTN,,,Accounting classification for financial liabilities,P,,,1,2,,,
Accounting classification,4BEAFB4A-542B-27DA-14C4-6DE9097CB13F,1311,,87A7E2A8-7B0B-7ADB-78C7-5009CB4438EF,567,Y,Domain,,,,,88DEBCF8-9F9A-8601-FA1C-0E4B7A1D51DF,7,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,Accounting classification type,String,,,,,ACCNTNG_CLSSFCTN,,,Accounting classification,,,,1,3,,,
Accounting classification,F3C7061B-EDCC-8CB9-5055-CFF0E40AD9B0,1312,,101580C7-7A41-DBA0-F668-CA0B21D0D2A3,690,Y,Domain,,,,,A553F1FA-51FD-48C2-A80A-426CA94AD34E,5,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,Accounting classification for liabilities,String,,,,,ACCNTNG_CLSSFCTN,F79F9B50-4EB2-5A02-7DDE-9EF1B08936E1,4690,Debt security issued (by the reporting agent),P,F,Accounting classification for financial liabilities classifies Financial liability in the form of Debt security issued (by the reporting agent),6,2,,,
Accounting classification,9F7E9653-D2C5-1B57-07F8-8274CB5F7A7A,1313,,17E1B4A1-D286-0C7B-412E-060CBFE6C8A5,923,Y,Domain,,,,,7631EDCB-3034-4948-BBCA-3908FF5794F5,3,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,Accounting classification for assets,String,,,,,ACCNTNG_CLSSFCTN,62318E99-35FE-41E4-AE25-462F706A903D,4689,Long security position Prudential Portfolio assignment Accounting classification for financial assets assignment,P,F,Accounting classification for financial assets is applied to Long security position Prudential Portfolio assignment Accounting classification for financial assets assignment,12,3,,,
Accounting classification,52FC38F9-08B9-BB77-25AF-A458B51C41AF,1314,,B5819EC6-25AB-CE81-2AF6-A357F93FAD4A,613,Y,Domain,,,,,A553F1FA-51FD-48C2-A80A-426CA94AD34E,5,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,Accounting classification for liabilities,String,,,,,ACCNTNG_CLSSFCTN,C5D39143-DE7C-78D4-3FEF-C4F06F124015,4691,Balance sheet recognised financial liability instrument,,F,Accounting classification for financial liabilities is applied to Balance sheet recognised financial liability instrument(s),2,2,,,
Accounting classification,ADE0880F-1372-C328-FAE3-7B5F12B0775F,1315,,D98528DD-4340-7068-DCF4-FC4EE2F41DB4,609,Y,Domain,,,,,7631EDCB-3034-4948-BBCA-3908FF5794F5,3,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,Accounting classification for assets,String,,,,,ACCNTNG_CLSSFCTN,684805F4-C777-14AF-6645-FAB5C87F2545,4688,Balance sheet recognised financial asset instrument,,F,Accounting classification for financial assets is applied to Balance sheet recognised financial asset instrument(s),2,3,,,
Accounting classification,5E617008-A654-255B-D66C-9977D8E4360D,1316,,F7CE6C6C-5F4E-2BA8-B205-B1E9F0BB3D0E,1010,Y,Domain,,,,,B55403CF-E495-4846-B034-10BB6A3F7AE2,2,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,Accounting classification applicable to off-balance sheet items,String,,,,,ACCNTNG_CLSSFCTN,,,Off-balance sheet item given instrument,,,,9,3,,,
Accounting classification,1946630E-A819-A654-E4E3-B32722335684,1317,,9CEA1E08-F628-512F-3E1B-DD6B6B517EB1,924,Y,Domain,,,,,7631EDCB-3034-4948-BBCA-3908FF5794F5,3,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,Accounting classification for assets,String,,,,,ACCNTNG_CLSSFCTN,F1D03CE8-E498-BD89-5CA1-6ADF2BA271E8,5025,Long security position Prudential Portfolio assignment Accounting classification for financial assets assignment derived data,P,F,Long security position Prudential Portfolio assignment Accounting classification for financial assets assignment may have Long security position Prudential Portfolio assignment Accounting classification for financial assets assignment derived data,13,3,,,
Accounting classification,2F03B5E8-CEBB-7378-DCE4-39D26DCE862A,1318,,CD8E5291-A87C-578E-7536-20CECA5FA9A0,604,Y,Domain,,,,,7631EDCB-3034-4948-BBCA-3908FF5794F5,3,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,Accounting classification for assets,String,,,,,ACCNTNG_CLSSFCTN,B36E4B03-7CD3-A326-4A20-DA3B42A3FD19,4687,Balance sheet recognised exchange tradable derivative asset position,,F,Accounting classification for financial assets classifies Balance sheet recognised exchange tradable derivative asset position,1,3,,,
Accounting classification,77B49E34-5936-26FD-BCE1-7F87920B752E,1319,,293B135E-4BE8-D75B-C459-0B4AE236D639,692,Y,Domain,,,,,A553F1FA-51FD-48C2-A80A-426CA94AD34E,5,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,Accounting classification for liabilities,String,,,,,ACCNTNG_CLSSFCTN,660A09BC-9482-83E7-146E-7DD06BD07CEC,4827,Debt security issued (by the reporting agent) derived data,P,F,Debt security issued (by the reporting agent) has Debt security issued (by the reporting agent) derived data,6,2,,,
Accounting consolidation level,E63F0FBF-53EF-27C4-74FE-8245552D649F,1320,,23700D94-7BD4-B730-CE3A-BD73D77FEEAE,945,Y,Domain,,,,,4CBDE993-B269-D10F-4FD3-13040004B341,8,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,Accounting consolidation level,String,,,,,ACCNTNG_CNSLDTN_LVL,7E10CE4D-5E5F-9EAA-0CDE-F48B4F16C26E,4693,Model Context,P,F,Accounting consolidation level classifies Model Context,3,1,,,
Accounting consolidation level,2D8B7569-A936-6EDA-8E89-1B3B2E67D4DB,1321,6C610392-15A7-086A-C6F2-B0505A389771,7F36D338-18D0-26CE-70F4-9B8A41B186C6,571,Y,Domain,,,,,4CBDE993-B269-D10F-4FD3-13040004B341,8,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,Accounting consolidation level,String,,,,,ACCNTNG_CNSLDTN_LVL,,,Accounting consolidation level,P,,,1,1,,,
Accounting hedge indicator,E3F32EC2-2EF6-594E-9741-F5F744BE784F,1322,,EE7AABF7-53FD-1A4B-D940-7E228C87F604,1065,Y,Domain,,,,,67BB8028-D0A7-E1BE-DD13-29EB4D4788D9,12,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,N,Accounting hedge indicator,String,,,,,ACCNTNG_HDG_INDCTR,C09155E0-A37D-6F1E-4801-DA60B5906C8F,4698,Over the counter (OTC) Derivative as a hedge,,F,Accounting hedge type classifies Over the counter (OTC) Derivative as a hedge,7,1,,,
Accounting hedge indicator,AAF36D56-1761-3296-FE65-4400277E3F66,1323,,AD909C61-3FC2-EC62-3190-271AD516B596,572,Y,Domain,,,,,67BB8028-D0A7-E1BE-DD13-29EB4D4788D9,12,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,N,Accounting hedge indicator,String,,,,,ACCNTNG_HDG_INDCTR,,,Accounting hedge type,P,,,1,1,,,
Accounting hedge indicator,D40F576F-EA85-D494-5EF0-C83C7F6813CD,1324,,204CCBD3-D9AD-0EC9-ED88-7E6A00BA0415,918,Y,Domain,,,,,67BB8028-D0A7-E1BE-DD13-29EB4D4788D9,12,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,Accounting hedge indicator,String,,,,,ACCNTNG_HDG_INDCTR,36322282-5098-3162-AC9F-65097BB0C31C,4697,Long security position as a hedge,,F,Accounting hedge type classifies Long security position as a hedge,13,1,,,
Accounting hedge indicator,DBA3EB57-6536-A408-4458-0F2D38031DA3,1325,,30FE22A5-7D6D-B178-7F24-11F6D029B691,730,Y,Domain,,,,,67BB8028-D0A7-E1BE-DD13-29EB4D4788D9,12,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,N,Accounting hedge indicator,String,,,,,ACCNTNG_HDG_INDCTR,D890C458-ECFE-6859-01DC-66EB60228335,4695,Equity instrument that is not a security as a hedge,,F,Accounting hedge type classifies Equity instrument that is not a security as a hedge,7,1,,,
Accounting hedge indicator,C15FF2E9-B15B-9FC5-1D67-960C70EE1694,1326,,D249222E-C88E-947C-2B2E-F8F931CFDCCB,889,Y,Domain,,,,,67BB8028-D0A7-E1BE-DD13-29EB4D4788D9,12,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,N,Accounting hedge indicator,String,,,,,ACCNTNG_HDG_INDCTR,5D0257F8-DFB0-6374-2496-53FAA95E0908,4696,Loan (excluding repurchase agreement) and advance as a hedge,,F,Accounting hedge type classifies Loan (excluding repurchase agreement) and advance as a hedge,7,1,,,
Accounting hedge indicator,3D695EFC-9EA8-6BEA-84B2-4D2E5478D9E9,1327,,FAEB9B83-BE89-F719-6667-BF2DE4448BFE,691,Y,Domain,,,,,67BB8028-D0A7-E1BE-DD13-29EB4D4788D9,12,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,N,Accounting hedge indicator,String,,,,,ACCNTNG_HDG_INDCTR,BAFCCA3C-EBA2-296C-C1F8-C8A9DB552CE5,4694,Debt security issued (by the reporting agent) as a hedge,,F,Accounting hedge type classifies Debt security issued (by the reporting agent) as a hedge,8,1,,,
Accounting standard,4FEA6523-92D0-8957-673E-0C2139F61B82,1328,,23700D94-7BD4-B730-CE3A-BD73D77FEEAE,945,Y,Domain,,,,,E121E041-B09C-AB9A-70C9-78308EDD10E8,10,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,Accounting framework,String,,,,,ACCNTNG_STNDRD,D5BF5664-6A93-8433-D6E0-40893C217B9F,4699,Model Context,P,F,Accounting standard classifies Model Context,4,1,,,
Accounting standard,F12EEF40-0820-943A-A66C-616CFF1C43BF,1329,5A1F6973-81F8-FFD9-0346-8D89061BF838,1926040B-333E-12CB-2D69-9E19EF7F6230,573,Y,Domain,,,,,E121E041-B09C-AB9A-70C9-78308EDD10E8,10,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,Accounting framework,String,,,,,ACCNTNG_STNDRD,,,Accounting standard,P,,,1,1,,,
Accounting standard for consolidated reporting,D98A54C0-EB57-7198-28DB-7831FCB5CD41,1330,,17039BAE-7EF6-28A0-D828-A8FD8EAAACF4,1161,N,Domain,,,,,E121E041-B09C-AB9A-70C9-78308EDD10E8,10,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,N,Accounting framework,String,,,,,ACCNTNG_STNDRD_CNLDTD_RPRTNG,,,Reporting agent internal group role,,,,3,1,,,
Accounting standard for solo reporting,E3FB17F9-76E2-292C-969D-651E1D8EDD4B,1331,,17039BAE-7EF6-28A0-D828-A8FD8EAAACF4,1161,N,Domain,,,,,E121E041-B09C-AB9A-70C9-78308EDD10E8,10,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,N,Accounting framework,String,,,,,ACCNTNG_STNDRD_SOLO_RPRTNG,,,Reporting agent internal group role,,,,2,1,,,
Accounting standard for statistical reporting,E24C9D53-1822-C78C-53F0-D82E79D9632B,1332,,17039BAE-7EF6-28A0-D828-A8FD8EAAACF4,1161,N,Domain,,,,,E121E041-B09C-AB9A-70C9-78308EDD10E8,10,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,N,Accounting framework,String,,,,,ACCNTNG_STNDRD_STTSTCL_RPRTNG,,,Reporting agent internal group role,,,,1,1,,,
Accounting treatment (CRR Group),3213D364-38A8-2789-3C7C-4EBBDCCA7561,1333,,45C47956-ACDB-BEDC-020E-65414D4E5162,1264,Y,Domain,,,,,1b28a0e8-5f83-4153-ae21-722184fc0870,59,A3A3C77D-0366-9768-FF89-1C25E56881C8,563,,,,,,,,,Y,Consolidation method - full domain,String,,,,,ACCNTNG_TRTMNT_CRR,98745910-2C57-1BC6-D5C2-8DA5C3ADA2EB,4700,"Subsidiary, joint venture and associate Other organisation role assignment",,F,"Accounting treatment (CRR Group) is assigned to Subsidiary, joint venture and associate Other organisation role assignment",5,1,,,
