Relation_Name,ModelID,Num_ModelID,ObjectID,NumOID,ImportID,Source_Entity_Name,Target_Entity_Name,Source_Label,Target_Label,SourceTo_Target_Cardinality,TargetTo_Source_Cardinality,Source_Optional,Target_Optional,Dominant_Role,Identifying,Source_ID,Num_Source_ID,Target_ID,Num_Target_ID,Number_Of_Attributes
Accounting classification for financial assets classifies Balance sheet recognised exchange tradable derivative asset position,DA75945B-3FE1-4CE1-31BE-32494C407F7E,565,B36E4B03-7CD3-A326-4A20-DA3B42A3FD19,4687,,Accounting classification for financial assets,Balance sheet recognised exchange tradable derivative asset position,,,*,1,Y,N,None,N,02BFA482-6B90-AEDD-2AF3-894CCAC2D420,568,CD8E5291-A87C-578E-7536-20CECA5FA9A0,604,1
Accounting classification for financial assets is applied to Balance sheet recognised financial asset instrument(s),DA75945B-3FE1-4CE1-31BE-32494C407F7E,565,684805F4-C777-14AF-6645-FAB5C87F2545,4688,,Accounting classification for financial assets,Balance sheet recognised financial asset instrument,,,*,1,Y,N,None,N,02BFA482-6B90-AEDD-2AF3-894CCAC2D420,568,D98528DD-4340-7068-DCF4-FC4EE2F41DB4,609,1
Accounting classification for financial assets is applied to Long security position Prudential Portfolio assignment Accounting classification for financial assets assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,565,62318E99-35FE-41E4-AE25-462F706A903D,4689,,Accounting classification for financial assets,Long security position Prudential Portfolio assignment Accounting classification for financial assets assignment,,,*,1,Y,N,None,Y,02BFA482-6B90-AEDD-2AF3-894CCAC2D420,568,17E1B4A1-D286-0C7B-412E-060CBFE6C8A5,923,1
Accounting classification for financial liabilities classifies Financial liability in the form of Debt security issued (by the reporting agent),DA75945B-3FE1-4CE1-31BE-32494C407F7E,565,F79F9B50-4EB2-5A02-7DDE-9EF1B08936E1,4690,,Accounting classification for financial liabilities,Debt security issued (by the reporting agent),,,*,1,Y,N,None,Y,6EC9BBB2-EB91-A986-6E0C-0C7B64929A33,569,101580C7-7A41-DBA0-F668-CA0B21D0D2A3,690,1
Accounting classification for financial liabilities is applied to Balance sheet recognised financial liability instrument(s),DA75945B-3FE1-4CE1-31BE-32494C407F7E,565,C5D39143-DE7C-78D4-3FEF-C4F06F124015,4691,,Accounting classification for financial liabilities,Balance sheet recognised financial liability instrument,,,*,1,Y,N,None,N,6EC9BBB2-EB91-A986-6E0C-0C7B64929A33,569,B5819EC6-25AB-CE81-2AF6-A357F93FAD4A,613,1
Accounting classification for financial liabilities specifies Balance sheet recognised exchange tradable derivative liability position,DA75945B-3FE1-4CE1-31BE-32494C407F7E,565,CC779237-1E1A-7E4C-3981-24D3D48EC0B2,4692,,Accounting classification for financial liabilities,Balance sheet recognised exchange tradable derivative liability position,,,*,1,Y,N,None,N,6EC9BBB2-EB91-A986-6E0C-0C7B64929A33,569,2F2741D3-5A9B-84B6-79A0-B1F2C0C6DB6E,608,1
Accounting consolidation level classifies Model Context,DA75945B-3FE1-4CE1-31BE-32494C407F7E,565,7E10CE4D-5E5F-9EAA-0CDE-F48B4F16C26E,4693,,Accounting consolidation level,Model Context,,,*,1,Y,N,None,Y,7F36D338-18D0-26CE-70F4-9B8A41B186C6,571,23700D94-7BD4-B730-CE3A-BD73D77FEEAE,945,1
Accounting hedge type classifies Debt security issued (by the reporting agent) as a hedge,DA75945B-3FE1-4CE1-31BE-32494C407F7E,565,BAFCCA3C-EBA2-296C-C1F8-C8A9DB552CE5,4694,,Accounting hedge type,Debt security issued (by the reporting agent) as a hedge,,,*,1,Y,N,None,N,AD909C61-3FC2-EC62-3190-271AD516B596,572,FAEB9B83-BE89-F719-6667-BF2DE4448BFE,691,1
Accounting hedge type classifies Equity instrument that is not a security as a hedge,DA75945B-3FE1-4CE1-31BE-32494C407F7E,565,D890C458-ECFE-6859-01DC-66EB60228335,4695,,Accounting hedge type,Equity instrument that is not a security as a hedge,,,*,1,Y,N,None,N,AD909C61-3FC2-EC62-3190-271AD516B596,572,30FE22A5-7D6D-B178-7F24-11F6D029B691,730,1
Accounting hedge type classifies Loan (excluding repurchase agreement) and advance as a hedge,DA75945B-3FE1-4CE1-31BE-32494C407F7E,565,5D0257F8-DFB0-6374-2496-53FAA95E0908,4696,,Accounting hedge type,Loan (excluding repurchase agreement) and advance as a hedge,,,*,1,Y,N,None,N,AD909C61-3FC2-EC62-3190-271AD516B596,572,D249222E-C88E-947C-2B2E-F8F931CFDCCB,889,1
Accounting hedge type classifies Long security position as a hedge,DA75945B-3FE1-4CE1-31BE-32494C407F7E,565,36322282-5098-3162-AC9F-65097BB0C31C,4697,,Accounting hedge type,Long security position as a hedge,,,*,1,Y,N,None,N,AD909C61-3FC2-EC62-3190-271AD516B596,572,204CCBD3-D9AD-0EC9-ED88-7E6A00BA0415,918,1
Accounting hedge type classifies Over the counter (OTC) Derivative as a hedge,DA75945B-3FE1-4CE1-31BE-32494C407F7E,565,C09155E0-A37D-6F1E-4801-DA60B5906C8F,4698,,Accounting hedge type,Over the counter (OTC) Derivative as a hedge,,,*,1,Y,N,None,N,AD909C61-3FC2-EC62-3190-271AD516B596,572,EE7AABF7-53FD-1A4B-D940-7E228C87F604,1065,1
Accounting standard classifies Model Context,DA75945B-3FE1-4CE1-31BE-32494C407F7E,565,D5BF5664-6A93-8433-D6E0-40893C217B9F,4699,,Accounting standard,Model Context,,,*,1,Y,N,None,Y,1926040B-333E-12CB-2D69-9E19EF7F6230,573,23700D94-7BD4-B730-CE3A-BD73D77FEEAE,945,1
"Accounting treatment (CRR Group) is assigned to Subsidiary, joint venture and associate Other organisation role assignment",DA75945B-3FE1-4CE1-31BE-32494C407F7E,565,98745910-2C57-1BC6-D5C2-8DA5C3ADA2EB,4700,,Accounting treatment,"Subsidiary, joint venture and associate Other organisation role assignment",,,*,1,Y,N,None,N,D4848F38-00F2-2B92-AC67-3608A3A9D351,574,45C47956-ACDB-BEDC-020E-65414D4E5162,1264,1
